agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|nalu_lect2m_com|nalu_mate2m_com|nalu_soc2m_com|prom_lect2m_com|prom_mate2m_com|prom_soc2m_com|dif_lect2m_com|dif_mate2m_com|sigdif_lect2m_com|sigdif_mate2m_com
2015|20160908|final20160908v1|2m|11|AYSÉN DEL GENERAL CARLOS IBÁÑEZ DEL CAMPO|2|AISÉN|1|AISÉN|1|COYHAIQUE|213|220|221|257|265|259|-8|-9|No significativa|No significativa
2015|20160908|final20160908v1|2m|5|VALPARAÍSO|6|SAN ANTONIO|13|ALGARROBO|2|SAN ANTONIO|101|104|105|223|223|231|-10|-3|No significativa|No significativa
2015|20160908|final20160908v1|2m|13|METROPOLITANA DE SANTIAGO|5|MELIPILLA|43|ALHUÉ|7|TALAGANTE|43|45|45|207|202|238|-8|-13|No significativa|No significativa
2015|20160908|final20160908v1|2m|8|BIOBÍO|3|BIOBÍO|8|ALTO BIOBÍO|2|BIOBÍO|35|34|34|204|168|214|0|1|No significativa|No significativa
2015|20160908|final20160908v1|2m|3|ATACAMA|3|HUASCO|6|ALTO DEL CARMEN|2|HUASCO|40|45|42|223|206|229|12|0|No significativa|No significativa
2015|20160908|final20160908v1|2m|1|TARAPACÁ|1|IQUIQUE|1|ALTO HOSPICIO|1|IQUIQUE|1183|1203|1200|243|252|246|-1|2|No significativa|No significativa
2015|20160908|final20160908v1|2m|10|LOS LAGOS|2|CHILOÉ|1|ANCUD|1|CHILOÉ|518|540|542|249|259|245|-6|2|No significativa|No significativa
2015|20160908|final20160908v1|2m|4|COQUIMBO|1|ELQUI|5|ANDACOLLO|2|ELQUI|102|101|101|240|239|238|1|2|No significativa|No significativa
2015|20160908|final20160908v1|2m|9|LA ARAUCANÍA|2|MALLECO|22|ANGOL|3|MALLECO|911|928|927|250|257|250|-6|0|No significativa|No significativa
2015|20160908|final20160908v1|2m|2|ANTOFAGASTA|1|ANTOFAGASTA|1|ANTOFAGASTA|1|ANTOFAGASTA|4238|4316|4291|240|254|244|-15|-13|Negativa y significativa|Negativa y significativa
2015|20160908|final20160908v1|2m|8|BIOBÍO|3|BIOBÍO|9|ANTUCO|2|BIOBÍO|42|41|41|237|236|241|-28|-20|Negativa y significativa|Negativa y significativa
2015|20160908|final20160908v1|2m|12|MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|1|ANTÁRTICA|1|MAGALLANES||||||||||
2015|20160908|final20160908v1|2m|8|BIOBÍO|2|ARAUCO|1|ARAUCO|1|ARAUCO|365|372|376|242|253|239|-12|-10|Negativa y significativa|Negativa y significativa
2015|20160908|final20160908v1|2m|15|ARICA Y PARINACOTA|1|ARICA|1|ARICA|1|ARICA|2461|2465|2453|248|261|244|0|3|No significativa|No significativa
2015|20160908|final20160908v1|2m|13|METROPOLITANA DE SANTIAGO|4|MAIPO|34|BUIN|6|SANTIAGO SUR|1199|1225|1207|248|262|252|0|7|No significativa|Positiva y significativa
2015|20160908|final20160908v1|2m|8|BIOBÍO|4|ÑUBLE|34|BULNES|4|ÑUBLE|266|271|272|245|251|249|-5|-5|No significativa|No significativa
2015|20160908|final20160908v1|2m|5|VALPARAÍSO|4|PETORCA|1|CABILDO|1|QUILLOTA - PETORCA|338|341|341|252|268|250|0|6|No significativa|No significativa
2015|20160908|final20160908v1|2m|12|MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|2|CABO DE HORNOS|1|MAGALLANES|26|27|27|252|275|221|-19|7|Negativa y significativa|No significativa
2015|20160908|final20160908v1|2m|8|BIOBÍO|3|BIOBÍO|10|CABRERO|2|BIOBÍO|313|312|312|222|221|215|1|0|No significativa|No significativa
2015|20160908|final20160908v1|2m|2|ANTOFAGASTA|2|EL LOA|7|CALAMA|2|EL LOA|2144|2192|2171|253|266|250|-5|-1|No significativa|No significativa
2015|20160908|final20160908v1|2m|10|LOS LAGOS|1|LLANQUIHUE|11|CALBUCO|2|LLANQUIHUE|297|322|321|246|249|240|-11|-2|Negativa y significativa|No significativa
2015|20160908|final20160908v1|2m|3|ATACAMA|1|COPIAPÓ|1|CALDERA|1|COPIAPÓ - CHAÑARAL|169|172|172|244|245|245|-10|-11|No significativa|Negativa y significativa
2015|20160908|final20160908v1|2m|5|VALPARAÍSO|5|QUILLOTA|2|CALERA|1|QUILLOTA - PETORCA|686|687|687|247|265|247|-4|3|No significativa|No significativa
2015|20160908|final20160908v1|2m|13|METROPOLITANA DE SANTIAGO|4|MAIPO|35|CALERA DE TANGO|6|SANTIAGO SUR|244|244|249|244|270|253|-6|2|No significativa|No significativa
2015|20160908|final20160908v1|2m|5|VALPARAÍSO|3|LOS ANDES|19|CALLE LARGA|3|SAN FELIPE - LOS ANDES|117|113|116|243|245|234|9|14|No significativa|Positiva y significativa
2015|20160908|final20160908v1|2m|15|ARICA Y PARINACOTA|1|ARICA|2|CAMARONES|1|ARICA|5|6|6|222|211|220||||
2015|20160908|final20160908v1|2m|1|TARAPACÁ|4|TAMARUGAL|3|CAMIÑA|2|TAMARUGAL|15|16|16|257|236|236|41|13|Positiva y significativa|No significativa
2015|20160908|final20160908v1|2m|4|COQUIMBO|2|CHOAPA|1|CANELA|1|CHOAPA|65|68|67|226|227|235|-23|17|Negativa y significativa|No significativa
2015|20160908|final20160908v1|2m|9|LA ARAUCANÍA|1|CAUTÍN|1|CARAHUE|1|CAUTÍN NORTE|272|276|279|236|216|235|1|-2|No significativa|No significativa
