agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect2m_com|prom_mate2m_com|prom_nat2m_com|dif_lect2m_com|dif_mate2m_com|dif_nat2m_com|sigdif_lect2m_com|sigdif_mate2m_com|sigdif_nat2m_com
2016|20171024|final20171024v1|2m|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11201|AISÉN|1|COYHAIQUE|246|255|242|-11|-10|-15|Negativa y significativa|Negativa y significativa|Negativa y significativa
2016|20171024|final20171024v1|2m|5|REGION DE VALPARAISO|6|SAN ANTONIO|5602|ALGARROBO|2|SAN ANTONIO|232|229|225|9|6|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13502|ALHUÉ|7|TALAGANTE|225|202|210|18|0|-19|Positiva y significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|2m|8|REGION DEL BIOBIO|3|BIOBÍO|8314|ALTO BIOBÍO|2|BIOBÍO|221|172|205|17|4|5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|3|REGION DE ATACAMA|3|HUASCO|3302|ALTO DEL CARMEN|2|HUASCO|214|191|213|-9|-15|13|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|1|REGION DE TARAPACA|1|IQUIQUE|1107|ALTO HOSPICIO|1|IQUIQUE|237|255|227|-6|5|-5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|1|CHILOÉ|251|267|238|2|8|-7|No significativa|Positiva y significativa|No significativa
2016|20171024|final20171024v1|2m|4|REGION DE COQUIMBO|1|ELQUI|4103|ANDACOLLO|2|ELQUI|239|235|216|-1|-4|-14|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|9|REGION DE LA ARAUCANIA|2|MALLECO|9201|ANGOL|3|MALLECO|252|259|240|2|2|-5|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|2|REGION DE ANTOFAGASTA|1|ANTOFAGASTA|2101|ANTOFAGASTA|1|ANTOFAGASTA|242|258|237|1|3|-13|No significativa|No significativa|Negativa y significativa
2016|20171024|final20171024v1|2m|8|REGION DEL BIOBIO|3|BIOBÍO|8302|ANTUCO|2|BIOBÍO|253|250|237|16|14|3|Positiva y significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12202|ANTÁRTICA|1|MAGALLANES|||||||||
2016|20171024|final20171024v1|2m|8|REGION DEL BIOBIO|2|ARAUCO|8202|ARAUCO|1|ARAUCO|241|245|229|-1|-8|-19|No significativa|Negativa y significativa|Negativa y significativa
2016|20171024|final20171024v1|2m|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|1|ARICA|244|262|237|-4|1|-4|No significativa|No significativa|No significativa
2016|20171024|final20171024v1|2m|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|6|SANTIAGO SUR|249|262|243|1|0|-1|No significativa|No significativa|No significativa
