agno|fecha_bbdd|codigo_bbdd|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect2m_com|prom_mate2m_com|prom_soc2m_com|dif_lect2m_com|dif_mate2m_com|dif_soc2m_com|sigdif_lect2m_com|sigdif_mate2m_com|sigdif_soc2m_com
2017|20180916|final20180916v1|2m|11|REGION DE AYSEN DEL GRAL. CARLOS IBANEZ DEL CAMPO|2|AISÉN|11201|AISÉN|1|COYHAIQUE|254|266|262|10|15|5|Positiva y significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|2m|5|REGION DE VALPARAISO|6|SAN ANTONIO|5602|ALGARROBO|2|SAN ANTONIO|239|235|243|7|6|12|No significativa|No significativa|Positiva y significativa
2017|20180916|final20180916v1|2m|13|REGION METROPOLITANA DE SANTIAGO|5|MELIPILLA|13502|ALHUÉ|7|TALAGANTE|240|229|242|15|27|4|Positiva y significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|2m|8|REGION DEL BIOBIO|3|BIOBÍO|8314|ALTO BIOBÍO|2|BIOBÍO|208|171|209|-13|-1|-5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|3|REGION DE ATACAMA|3|HUASCO|3302|ALTO DEL CARMEN|2|HUASCO|229|204|222|15|13|-7|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|1|REGION DE TARAPACA|1|IQUIQUE|1107|ALTO HOSPICIO|1|IQUIQUE|244|254|242|7|0|-3|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|10|REGION DE LOS LAGOS|2|CHILOÉ|10202|ANCUD|1|CHILOÉ|247|259|244|-4|-8|-1|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|4|REGION DE COQUIMBO|1|ELQUI|4103|ANDACOLLO|2|ELQUI|260|243|245|21|8|7|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|9|REGION DE LA ARAUCANIA|2|MALLECO|9201|ANGOL|3|MALLECO|252|261|243|-3|0|-9|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|2m|2|REGION DE ANTOFAGASTA|1|ANTOFAGASTA|2101|ANTOFAGASTA|1|ANTOFAGASTA|253|260|246|11|2|2|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|8|REGION DEL BIOBIO|3|BIOBÍO|8302|ANTUCO|2|BIOBÍO|240|237|237|-13|-13|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12202|ANTÁRTICA|1|MAGALLANES|||||||||
2017|20180916|final20180916v1|2m|8|REGION DEL BIOBIO|2|ARAUCO|8202|ARAUCO|1|ARAUCO|246|250|241|5|5|2|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|15|REGION DE ARICA Y PARINACOTA|1|ARICA|15101|ARICA|1|ARICA|252|266|247|8|4|3|Positiva y significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|13|REGION METROPOLITANA DE SANTIAGO|4|MAIPO|13402|BUIN|6|SANTIAGO SUR|244|257|247|-5|-5|-5|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|8|REGION DEL BIOBIO|4|ÑUBLE|8402|BULNES|4|ÑUBLE|247|255|247|6|3|-4|No significativa|No significativa|No significativa
2017|20180916|final20180916v1|2m|5|REGION DE VALPARAISO|4|PETORCA|5402|CABILDO|1|QUILLOTA - PETORCA|243|252|240|-3|-4|-10|No significativa|No significativa|Negativa y significativa
2017|20180916|final20180916v1|2m|12|REGION DE MAGALLANES Y DE LA ANTÁRTICA CHILENA|2|ANTÁRTICA CHILENA|12201|CABO DE HORNOS|1|MAGALLANES|263|265|238|26|23|17|Positiva y significativa|Positiva y significativa|No significativa
2017|20180916|final20180916v1|2m|8|REGION DEL BIOBIO|3|BIOBÍO|8303|CABRERO|2|BIOBÍO|243|250|233|11|6|18|Positiva y significativa|No significativa|Positiva y significativa
2017|20180916|final20180916v1|2m|2|REGION DE ANTOFAGASTA|2|EL LOA|2201|CALAMA|2|EL LOA|258|273|254|2|4|7|No significativa|No significativa|Positiva y significativa
