agno|grado|cod_reg|nom_reg|cod_pro|nom_pro|cod_com|nom_com|cod_deprov|nom_deprov|prom_lect2m_com|prom_mate2m_com|prom_nat2m_com|dif_lect2m_com|dif_mate2m_com|dif_nat2m_com|sigdif_lect2m_com|sigdif_mate2m_com|sigdif_nat2m_com|fecha_bbdd|codigo_bbdd
2018|2m|1|Región de Tarapacá|11|Iquique|1101|Iquique|11|Iquique|252|263|242|3|-1|2|0|0|0|20190628|final20190628v1
2018|2m|1|Región de Tarapacá|11|Iquique|1107|Alto Hospicio|11|Iquique|244|253|233|0|-1|6|0|0|0|20190628|final20190628v1
2018|2m|1|Región de Tarapacá|14|Tamarugal|1401|Pozo Almonte|14|Tamarugal|237|239|224|22|24|16|1|1|1|20190628|final20190628v1
2018|2m|1|Región de Tarapacá|14|Tamarugal|1402|Camiña|14|Tamarugal|221|230|222|13|11|-12|0|0|0|20190628|final20190628v1
2018|2m|1|Región de Tarapacá|14|Tamarugal|1403|Colchane|14|Tamarugal|214|213|209|32|19|0|0|0|0|20190628|final20190628v1
2018|2m|1|Región de Tarapacá|14|Tamarugal|1404|Huara|14|Tamarugal|220|197|195|-28|-42|-16|-1|-1|0|20190628|final20190628v1
2018|2m|1|Región de Tarapacá|14|Tamarugal|1405|Pica|14|Tamarugal|228|228|218|15|16|15|1|1|1|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|21|Antofagasta|2101|Antofagasta|21|Antofagasta|249|258|239|-4|-2|2|0|0|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|21|Antofagasta|2102|Mejillones|21|Antofagasta|220|207|208|-19|-7|0|-1|0|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|21|Antofagasta|2103|Sierra Gorda|21|Antofagasta|219|210|197|-15|10|0|0|0|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|21|Antofagasta|2104|Taltal|21|Antofagasta|228|226|210|4|-2|-7|0|0|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|23|Tocopilla|2301|Tocopilla|21|Antofagasta|237|230|220|-10|3|-1|-1|0|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|23|Tocopilla|2302|María Elena|21|Antofagasta|233|240|229|5|20|2|0|1|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|22|El Loa|2201|Calama|22|El Loa|251|264|243|-7|-9|1|-1|-1|0|20190628|final20190628v1
2018|2m|2|Región de Antofagasta|22|El Loa|2202|Ollagüe|22|El Loa||||||||||20190628|final20190628v1
2018|2m|2|Región de Antofagasta|22|El Loa|2203|San Pedro de Atacama|22|El Loa|247|279|239|-11|15|8|0|1|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|31|Copiapó|3101|Copiapó|31|Copiapo - Chanaral|242|255|236|-6|-6|1|0|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|31|Copiapó|3102|Caldera|31|Copiapo - Chanaral|235|227|223|-12|-16|3|-1|-1|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|31|Copiapó|3103|Tierra Amarilla|31|Copiapo - Chanaral|200|193|194|5|11|-8|0|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|32|Chañaral|3201|Chañaral|31|Copiapo - Chanaral|227|223|219|-1|10|8|0|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|32|Chañaral|3202|Diego de Almagro|31|Copiapo - Chanaral|246|249|228|6|-1|-4|0|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|33|Huasco|3301|Vallenar|32|Huasco - Vallenar|245|253|236|-9|-6|2|-1|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|33|Huasco|3302|Alto del Carmen|32|Huasco - Vallenar|236|215|216|7|11|3|0|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|33|Huasco|3303|Freirina|32|Huasco - Vallenar|220|206|206|-26|-13|5|-1|0|0|20190628|final20190628v1
2018|2m|3|Región de Atacama|33|Huasco|3304|Huasco|32|Huasco - Vallenar|240|237|233|6|29|24|0|1|1|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|41|Elqui|4101|La Serena|41|Elqui|253|270|250|-7|-9|0|-1|-1|0|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|41|Elqui|4102|Coquimbo|41|Elqui|252|264|245|-5|-3|4|0|0|0|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|41|Elqui|4103|Andacollo|41|Elqui|244|255|239|-16|12|23|-1|0|1|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|41|Elqui|4104|La Higuera|41|Elqui|209|175|196|-27|-33|0|-1|-1|0|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|41|Elqui|4105|Paihuano|41|Elqui|238|217|236|-1|-20|11|0|0|0|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|41|Elqui|4106|Vicuña|41|Elqui|239|244|234|3|-1|5|0|0|0|20190628|final20190628v1
2018|2m|4|Región de Coquimbo|42|Choapa|4202|Canela|43|Choapa|237|247|222|0|15|-13|0|1|-1|20190628|final20190628v1
